skill_name,job_count,pct_of_jobs,importance_levels,avg_weight
strong communication and collaboration skills,10,0.59,"critical, essential, important",76.0
excellent written and verbal communication skills,10,0.59,"critical, essential, important",83.1
german language skills,10,0.59,preferred,22.5
verbal communication skills,10,0.59,"critical, essential, important",71.8
git,10,0.59,"critical, essential, important",72.5
jira,10,0.59,"important, preferred",41.0
swift back office operation,10,0.59,"critical, essential, important",75.5
swift risk and regulatory payments,10,0.59,"critical, essential",85.3
ability to implement tasks and projects with minimal supervision,10,0.59,"critical, essential, important",61.0
having awareness and information about the competition,10,0.59,"essential, important, preferred",53.0
team management,10,0.59,"critical, essential, important, preferred",77.5
negotiation skills,10,0.59,"critical, essential, important, preferred",54.0
multitasking,10,0.59,important,48.0
terraform,10,0.59,"critical, essential, important, preferred",67.5
maven,10,0.59,"critical, important, preferred",55.5
shell scripting,10,0.59,"critical, essential, important, preferred",61.5
effective communication,10,0.59,"critical, essential, important",83.0
communication skills (written and verbal),10,0.59,"critical, essential, important",72.5
ability to work in a fast-paced environment,10,0.59,"critical, essential, important",70.5
